Date,year,Site_location,LONGITUDE,LATITUDE,Region,Site_number,Clade,Species_name,Collection_no,Plant_no,LMA,Canopy_area,LWratio,FWC
8/4/2011,2011,Meiringspoort_1,22.5595,-33.388,Swartberg,PL_1032,A1,hispidum,50,1,0.004481464,.,1.685185185,5.04778157
8/4/2011,2011,Meiringspoort_1,22.5595,-33.388,Swartberg,PL_1032,A1,hispidum,50,2,0.004813163,.,1.460526316,5.437425507
8/4/2011,2011,Meiringspoort_1,22.5595,-33.388,Swartberg,PL_1032,A1,hispidum,50,3,0.005032954,.,1.641509434,5.277586207
8/4/2011,2011,Meiringspoort_1,22.5595,-33.388,Swartberg,PL_1032,A1,hispidum,50,4,0.004138715,.,1.666666667,5.242718447
8/4/2011,2011,Meiringspoort_1,22.5595,-33.388,Swartberg,PL_1032,A1,hispidum,50,5,0.005084946,.,1.6,5.293609672
8/4/2011,2011,Meiringspoort_1,22.5595,-33.388,Swartberg,PL_1032,A1,hispidum,50,6,0.00382459,.,1.461538462,5.248704663
8/4/2011,2011,Meiringspoort_1,22.5595,-33.388,Swartberg,PL_1032,A1,hispidum,50,7,0.004766082,.,2.071428571,5.479910714
8/12/2011,2011,Houw_Hoek_Pass,19.16294,-34.21029,Kogelberg,PL_1055,A1,incarnatum,82,1,0.010891089,62.83185307,2,3.148148148
8/12/2011,2011,Houw_Hoek_Pass,19.16294,-34.21029,Kogelberg,PL_1055,A1,incarnatum,82,2,0.011009174,94.24777961,2.166666667,3
8/12/2011,2011,Houw_Hoek_Pass,19.16294,-34.21029,Kogelberg,PL_1055,A1,incarnatum,82,3,0.0125,78.53981634,2.166666667,2.615384615
8/12/2011,2011,Houw_Hoek_Pass,19.16294,-34.21029,Kogelberg,PL_1055,A1,incarnatum,82,4,0.012671233,95.03317777,2.375,2.47826087
8/12/2011,2011,Houw_Hoek_Pass,19.16294,-34.21029,Kogelberg,PL_1055,A1,incarnatum,82,5,0.009954751,122.5221135,2.125,3.142857143
8/12/2011,2011,Houw_Hoek_Pass,19.16294,-34.21029,Kogelberg,PL_1055,A1,incarnatum,82,6,0.010847458,69.11503838,1.416666667,2.743589744
8/12/2011,2011,Houw_Hoek_Pass,19.16294,-34.21029,Kogelberg,PL_1055,A1,incarnatum,82,7,0.009183673,141.3716694,2.833333333,3.25
8/12/2011,2011,Houw_Hoek_Pass,19.16294,-34.21029,Kogelberg,PL_1055,A1,incarnatum,82,8,0.01497006,32.98672286,1.875,2.466666667
.,2012,Old_Houwhoek_Pass_Rd,19.16897,-34.21157,Cape_Nature,265,.,incarnatum,1646,1646,0.014352692,51.83627878,2.078184864,2.355555556
.,2012,Old_Houwhoek_Pass_Rd,19.16897,-34.21157,Cape_Nature,265,.,incarnatum,1647,1647,0.014236635,125.6637061,1.823167852,2.147058824
.,2012,Old_Houwhoek_Pass_Rd,19.16897,-34.21157,Cape_Nature,265,.,incarnatum,1649,1649,0.01222811,95.03317777,1.672151595,2.5
.,2012,Old_Houwhoek_Pass_Rd,19.16897,-34.21157,Cape_Nature,265,.,incarnatum,1650,1650,0.015028984,43.98229715,0.922329717,1.64
.,2012,Old_Houwhoek_Pass_Rd,19.16897,-34.21157,Cape_Nature,265,.,incarnatum,1651,1651,0.015827119,188.4955592,1.148561074,1.814285714
.,2012,Old_Houwhoek_Pass_Rd,19.16897,-34.21157,Cape_Nature,265,.,incarnatum,1652,1652,0.015789474,28.27433388,2.194609574,1.780487805
.,2012,Springbok: Naries 1,17.66505,-29.69088,Northern_Cape,128,.,incrassatum,1509,1509,0.003961437,142.9424657,7.2,-0.110655738
.,2012,Springbok: Naries 1,17.66505,-29.69088,Northern_Cape,128,.,incrassatum,1511,1511,0.004242928,141.3716694,7.058823529,2.967391304
.,2012,Springbok: Naries 1,17.66505,-29.69088,Northern_Cape,128,.,incrassatum,1512,1512,0.002782071,28.27433388,6.785714286,2.771428571
.,2012,Springbok: Naries 1,17.6653,-29.69059,Northern_Cape,128,.,karooicum,1525,1525,0.004492512,3859.446575,4.351515152,5.296296296
.,2012,Springbok: Naries 1,17.6653,-29.69059,Northern_Cape,128,.,karooicum,1526,1526,0.009495549,343.2189974,7.272189349,3
.,2012,Springbok: Naries 1,17.6653,-29.69059,Northern_Cape,128,.,karooicum,1527,1527,0.008962264,1979.203372,5.793103448,3.684210526
.,2012,Springbok: Naries 1,17.6653,-29.69059,Northern_Cape,128,.,karooicum,1528,1528,0.008,1661.117116,3.875502008,3.333333333
.,2012,Springbok: Naries 1,17.6653,-29.69059,Northern_Cape,128,.,karooicum,1529,1529,0.008293941,2583.959958,3.972792652,3.862068966
.,2012,Springbok: Naries 1,17.6653,-29.69059,Northern_Cape,128,.,karooicum,1530,1530,0.007993245,1684.67906,9.110320285,4.462962963
.,2012,Springbok: Naries 1,17.6653,-29.69059,Northern_Cape,128,.,karooicum,1531,1531,0.007034822,5684.711907,4.778884001,5.357142857
.,2012,Springbok: Naries 1,17.6653,-29.69059,Northern_Cape,128,.,karooicum,1532,1532,0.008139535,1916.371519,3.754427391,7.857142857
7/29/2011,2011,Baviaanskloof:_Hill_track_2,24.13374,-33.68247,Baviaanskloof,PL_1013,A1,laevigatum,22,1,0.025454545,869.4357669,5.25,4.913978495
7/29/2011,2011,Baviaanskloof:_Hill_track_2,24.13374,-33.68247,Baviaanskloof,PL_1013,A1,laevigatum,22,2,0.016785714,1570.796327,7,5.109090909
7/29/2011,2011,Baviaanskloof:_Hill_track_2,24.13374,-33.68247,Baviaanskloof,PL_1013,A1,laevigatum,22,3,0.01733871,1910.088333,3.444444444,3.846153846
7/29/2011,2011,Baviaanskloof:_Hill_track_2,24.13374,-33.68247,Baviaanskloof,PL_1013,A1,laevigatum,22,4,0.018614719,632.2455215,6.6,4.137254902
7/29/2011,2011,Baviaanskloof:_Hill_track_2,24.13374,-33.68247,Baviaanskloof,PL_1013,A1,laevigatum,22,5,0.01588785,204.9889206,7.5,5
7/29/2011,2011,Baviaanskloof:_Hill_track_2,24.13374,-33.68247,Baviaanskloof,PL_1013,A1,laevigatum,22,6,0.015,447.6769531,4.375,.
7/29/2011,2011,Baviaanskloof:_Hill_track_2,24.13374,-33.68247,Baviaanskloof,PL_1013,A1,laevigatum,22,7,0.01744186,204.2035225,5.714285714,4.215686275
